Dervent Park:65:70:415:70:500:70
Brierley Vale:250:165:415:165:500:165:750:165
Spruce Barton:180:265:250:265:415:265:500:265:590:265
Birdwood Firs:65:330:180:330:250:330:415:330:500:330:590:330:700:330:750:330:875:330:960:330
Glebe Vale:310:370:415:370:500:370:590:370:700:370:750:370:875:370:960:370
Ford Fold:180:500:250:500:310:500:415:500:590:500:700:500:750:500
Hamilton Top:415:585:590:585:700:585:875:585:960:585
Marina Downs:65:655:180:655:310:655:415:655
Factory Hall:180:730:310:730:590:730:875:730
Hunter Cross:65:70:65:330:65:655
Newcrest:180:265:180:330:180:500:180:655:180:730
Ferrymuir:250:165:250:265:250:330:250:500
Shire Garden:310:370:310:500:310:655:310:730
Bakers Holt:415:70:415:165:415:265:415:330:415:370:415:500:415:585:415:655
Whitehouse Corner:500:70:500:165:500:265:500:330:500:370
Middlefield Hawthorns:590:265:590:330:590:370:590:500:590:585:590:730
Alicia Avanue:700:330:700:370:700:500:700:585
Anson Chase:750:165:750:330:750:370:750:500
Shakespeare Fold:875:330:875:370:875:585:875:730
Pool Crescent:960:330:960:370:960:585
